X	Y	Z
0.888594 2.74685 -46.1501
0.888594 2.74685 -46.1501
0.888042 2.74687 -46.1504
0.888042 2.74687 -46.1504
0.888042 2.74687 -46.1504
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888325 2.7464 -46.1508
0.888608 2.74594 -46.1511
0.888608 2.74594 -46.1511
0.888608 2.74594 -46.1511
0.888608 2.74594 -46.1511
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.8889 2.74646 -46.1514
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
0.889191 2.74697 -46.1516
