Alpha1	Alpha2	Alpha3
-0.00688889 -0.0356454 0.0935522
-0.00688889 -0.0356454 0.0935522
-0.00688889 -0.0356454 0.0935522
-0.00688889 -0.0356454 0.0935522
-0.00688889 -0.0356454 0.0935522
-0.00688889 -0.0356454 0.0935522
-0.00688889 -0.0356454 0.0935522
-0.00688889 -0.0356454 0.0935522
-0.00688889 -0.0356454 0.0935522
-0.00686623 -0.0356452 0.0935525
-0.00686604 -0.0356224 0.0935527
-0.00686604 -0.0356224 0.0935527
-0.00686604 -0.0356224 0.0935527
-0.00686604 -0.0356224 0.0935527
-0.00686604 -0.0356224 0.0935527
-0.00686604 -0.0356224 0.0935527
-0.00686604 -0.0356224 0.0935527
-0.00686604 -0.0356224 0.0935527
-0.00686604 -0.0356224 0.0935527
